TeamNameSpelling,MTeamID,WTeamID,espn_id
a&m-corpus chris,1394,3394,357
a&m-corpus christi,1394,3394,357
abilene chr,1101,3101,2000
abilene christian,1101,3101,2000
abilene-christian,1101,3101,2000
air force,1102,3102,2005
air-force,1102,3102,2005
akron,1103,3103,2006
alabama,1104,3104,333
alabama a&m,1105,3105,2010
alabama st,1106,3106,2011
alabama st.,1106,3106,2011
alabama state,1106,3106,2011
alabama-am,1105,3105,2010
alabama-birmingham,1412,3412,5
alabama-st,1106,3106,2011
alabama-state,1106,3106,2011
albany,1107,3107,399
albany (ny),1107,3107,399
albany ny,1107,3107,399
albany-ny,1107,3107,399
alcorn,1108,3108,2016
alcorn st,1108,3108,2016
alcorn st.,1108,3108,2016
alcorn state,1108,3108,2016
alcorn-state,1108,3108,2016
alliant international,1109,3109,
alliant intl,1109,3109,
am-corpus-chris,1394,3394,357
american,1110,3110,44
american u.,1110,3110,44
american univ,1110,3110,44
american university,1110,3110,44
american-university,1110,3110,44
appalachian st,1111,3111,2026
appalachian st.,1111,3111,2026
appalachian state,1111,3111,2026
appalachian-st,1111,3111,2026
appalachian-state,1111,3111,2026
arizona,1112,3112,12
arizona st,1113,3113,9
arizona st.,1113,3113,9
arizona state,1113,3113,9
arizona-st,1113,3113,9
arizona-state,1113,3113,9
ark little rock,1114,3114,2031
ark pine bluff,1115,3115,2029
ark-pine-bluff,1115,3115,2029
ark.-pine bluff,1115,3115,2029
arkansas,1116,3116,8
arkansas st,1117,3117,2032
arkansas st.,1117,3117,2032
arkansas state,1117,3117,2032
arkansas-little rock,1114,3114,2031
arkansas-little-rock,1114,3114,2031
arkansas-pine bluff,1115,3115,2029
arkansas-pine-bluff,1115,3115,2029
arkansas-st,1117,3117,2032
arkansas-state,1117,3117,2032
armstrong,1118,3118,
armstrong st,1118,3118,
army,1119,3119,349
army west point,1119,3119,349
army-west-point,1119,3119,349
auburn,1120,3120,2
augusta,1121,3121,
augusta state,1121,3121,
austin peay,1122,3122,2046
austin-peay,1122,3122,2046
bakersfield,1167,3167,2934
ball st,1123,3123,2050
ball st.,1123,3123,2050
ball state,1123,3123,2050
ball-st,1123,3123,2050
ball-state,1123,3123,2050
baylor,1124,3124,239
bellarmine,1468,3468,91
belmont,1125,3125,2057
bethune-cookman,1126,3126,2065
binghamton,1127,3127,2066
birmingham so,1128,3128,
birmingham southern,1128,3128,
birmingham-southern,1128,3128,
boise st,1129,3129,68
boise st.,1129,3129,68
boise state,1129,3129,68
boise-st,1129,3129,68
boise-state,1129,3129,68
boston,1131,3131,104
boston college,1130,3130,103
boston u,1131,3131,104
boston u.,1131,3131,104
boston univ,1131,3131,104
boston university,1131,3131,104
boston-college,1130,3130,103
boston-u,1131,3131,104
boston-university,1131,3131,104
bowling green,1132,3132,189
bowling green state,1132,3132,189
bowling-green,1132,3132,189
bowling-green-state,1132,3132,189
bradley,1133,3133,71
brigham young,1140,3140,252
brigham-young,1140,3140,252
brooklyn,1134,3134,
brown,1135,3135,225
bryant,1136,3136,2803
bryant university,1136,3136,2803
bucknell,1137,3137,2083
buffalo,1138,3138,2084
butler,1139,3139,2086
byu,1140,3140,252
c michigan,1141,3141,2117
cal baptist,1465,3465,2856
cal poly,1142,3142,13
cal poly slo,1142,3142,13
cal riverside,1415,3415,27
cal st. fullerton,1168,3168,2239
cal st. northridge,1169,3169,2463
cal state bakersfield,1167,3167,2934
cal state fullerton,1168,3168,2239
cal state northridge,1169,3169,2463
cal state-fullerton,1168,3168,2239
cal-poly,1142,3142,13
cal-st-fullerton,1168,3168,2239
cal-state-bakersfield,1167,3167,2934
cal-state-fullerton,1168,3168,2239
cal-state-northridge,1169,3169,2463
cal. state - bakersfield,1167,3167,2934
california,1143,3143,25
california baptist,1465,3465,2856
california-davis,1413,3413,302
california-irvine,1414,3414,300
california-riverside,1415,3415,27
california-santa barbara,1364,3364,2540
california-santa-barbara,1364,3364,2540
campbell,1144,3144,2097
canisius,1145,3145,2099
cent arkansas,1146,3146,2110
centenary,1147,3147,2113
centenary (la),1147,3147,2113
centenary-la,1147,3147,2113
central ark.,1146,3146,2110
central arkansas,1146,3146,2110
central conn,1148,3148,2115
central conn. st.,1148,3148,2115
central connecticut,1148,3148,2115
central connecticut state,1148,3148,2115
central florida,1416,3416,2116
central florida(ucf),1416,3416,2116
central mich.,1141,3141,2117
central michigan,1141,3141,2117
central-ark,1146,3146,2110
central-arkansas,1146,3146,2110
central-conn-st,1148,3148,2115
central-connecticut-state,1148,3148,2115
central-florida,1416,3416,2116
central-mich,1141,3141,2117
central-michigan,1141,3141,2117
charleston,1158,3158,232
charleston so,1149,3149,2127
charleston so.,1149,3149,2127
charleston southern,1149,3149,2127
charleston-so,1149,3149,2127
charleston-southern,1149,3149,2127
charlotte,1150,3150,2429
chattanooga,1151,3151,236
chicago st,1152,3152,2130
chicago st.,1152,3152,2130
chicago state,1152,3152,2130
chicago-st,1152,3152,2130
chicago-state,1152,3152,2130
cincinnati,1153,3153,2132
citadel,1154,,2643
clemson,1155,3155,228
cleveland st,1156,3156,325
cleveland st.,1156,3156,325
cleveland state,1156,3156,325
cleveland-st,1156,3156,325
cleveland-state,1156,3156,325
coastal car,1157,3157,324
coastal caro.,1157,3157,324
coastal carolina,1157,3157,324
coastal-caro,1157,3157,324
coastal-carolina,1157,3157,324
col charleston,1158,3158,232
col-of-charleston,1158,3158,232
col. of charleston,1158,3158,232
colgate,1159,3159,2142
college of charlesto,1158,3158,232
college of charleston,1158,3158,232
