StrongSeed,WeakSeed,Round,Slot
W01,W16,1,R1W1
W02,W15,1,R1W2
W03,W14,1,R1W3
W04,W13,1,R1W4
W05,W12,1,R1W5
W06,W11,1,R1W6
W07,W10,1,R1W7
W08,W09,1,R1W8
X01,X16,1,R1X1
X02,X15,1,R1X2
X03,X14,1,R1X3
X04,X13,1,R1X4
X05,X12,1,R1X5
X06,X11,1,R1X6
X07,X10,1,R1X7
X08,X09,1,R1X8
Y01,Y16,1,R1Y1
Y02,Y15,1,R1Y2
Y03,Y14,1,R1Y3
Y04,Y13,1,R1Y4
Y05,Y12,1,R1Y5
Y06,Y11,1,R1Y6
Y07,Y10,1,R1Y7
Y08,Y09,1,R1Y8
Z01,Z16,1,R1Z1
Z02,Z15,1,R1Z2
Z03,Z14,1,R1Z3
Z04,Z13,1,R1Z4
Z05,Z12,1,R1Z5
Z06,Z11,1,R1Z6
Z07,Z10,1,R1Z7
Z08,Z09,1,R1Z8
W01,W08,2,R2W1
W02,W07,2,R2W2
W03,W06,2,R2W3
W04,W05,2,R2W4
W01,W09,2,R2W1
W02,W10,2,R2W2
W03,W11,2,R2W3
W04,W12,2,R2W4
W08,W16,2,R2W1
W07,W15,2,R2W2
W06,W14,2,R2W3
W05,W13,2,R2W4
W09,W16,2,R2W1
W10,W15,2,R2W2
W11,W14,2,R2W3
W12,W13,2,R2W4
X01,X08,2,R2X1
X02,X07,2,R2X2
X03,X06,2,R2X3
X04,X05,2,R2X4
X01,X09,2,R2X1
X02,X10,2,R2X2
X03,X11,2,R2X3
X04,X12,2,R2X4
X08,X16,2,R2X1
X07,X15,2,R2X2
X06,X14,2,R2X3
X05,X13,2,R2X4
X09,X16,2,R2X1
X10,X15,2,R2X2
X11,X14,2,R2X3
X12,X13,2,R2X4
Y01,Y08,2,R2Y1
Y02,Y07,2,R2Y2
Y03,Y06,2,R2Y3
Y04,Y05,2,R2Y4
Y01,Y09,2,R2Y1
Y02,Y10,2,R2Y2
Y03,Y11,2,R2Y3
Y04,Y12,2,R2Y4
Y08,Y16,2,R2Y1
Y07,Y15,2,R2Y2
Y06,Y14,2,R2Y3
Y05,Y13,2,R2Y4
Y09,Y16,2,R2Y1
Y10,Y15,2,R2Y2
Y11,Y14,2,R2Y3
Y12,Y13,2,R2Y4
Z01,Z08,2,R2Z1
Z02,Z07,2,R2Z2
Z03,Z06,2,R2Z3
Z04,Z05,2,R2Z4
Z01,Z09,2,R2Z1
Z02,Z10,2,R2Z2
Z03,Z11,2,R2Z3
Z04,Z12,2,R2Z4
Z08,Z16,2,R2Z1
Z07,Z15,2,R2Z2
Z06,Z14,2,R2Z3
Z05,Z13,2,R2Z4
Z09,Z16,2,R2Z1
Z10,Z15,2,R2Z2
Z11,Z14,2,R2Z3
Z12,Z13,2,R2Z4
W01,W04,3,R3W1
W01,W13,3,R3W1
W01,W05,3,R3W1
W01,W12,3,R3W1
W04,W16,3,R3W1
W13,W16,3,R3W1
W05,W16,3,R3W1
W12,W16,3,R3W1
W04,W08,3,R3W1
W08,W13,3,R3W1
W05,W08,3,R3W1
W08,W12,3,R3W1
W04,W09,3,R3W1
W09,W13,3,R3W1
W05,W09,3,R3W1
W09,W12,3,R3W1
W02,W03,3,R3W2
W02,W14,3,R3W2
W02,W06,3,R3W2
W02,W11,3,R3W2
W03,W15,3,R3W2
W14,W15,3,R3W2
W06,W15,3,R3W2
W11,W15,3,R3W2
W03,W07,3,R3W2
W07,W14,3,R3W2
W06,W07,3,R3W2
W07,W11,3,R3W2
W03,W10,3,R3W2
W10,W14,3,R3W2
W06,W10,3,R3W2
W10,W11,3,R3W2
X01,X04,3,R3X1
X01,X13,3,R3X1
X01,X05,3,R3X1
X01,X12,3,R3X1
X04,X16,3,R3X1
X13,X16,3,R3X1
X05,X16,3,R3X1
X12,X16,3,R3X1
X04,X08,3,R3X1
X08,X13,3,R3X1
X05,X08,3,R3X1
X08,X12,3,R3X1
X04,X09,3,R3X1
X09,X13,3,R3X1
X05,X09,3,R3X1
X09,X12,3,R3X1
X02,X03,3,R3X2
X02,X14,3,R3X2
X02,X06,3,R3X2
X02,X11,3,R3X2
X03,X15,3,R3X2
X14,X15,3,R3X2
X06,X15,3,R3X2
X11,X15,3,R3X2
X03,X07,3,R3X2
X07,X14,3,R3X2
X06,X07,3,R3X2
X07,X11,3,R3X2
X03,X10,3,R3X2
X10,X14,3,R3X2
X06,X10,3,R3X2
X10,X11,3,R3X2
Y01,Y04,3,R3Y1
Y01,Y13,3,R3Y1
Y01,Y05,3,R3Y1
Y01,Y12,3,R3Y1
Y04,Y16,3,R3Y1
Y13,Y16,3,R3Y1
Y05,Y16,3,R3Y1
Y12,Y16,3,R3Y1
Y04,Y08,3,R3Y1
Y08,Y13,3,R3Y1
Y05,Y08,3,R3Y1
Y08,Y12,3,R3Y1
Y04,Y09,3,R3Y1
Y09,Y13,3,R3Y1
Y05,Y09,3,R3Y1
Y09,Y12,3,R3Y1
Y02,Y03,3,R3Y2
Y02,Y14,3,R3Y2
Y02,Y06,3,R3Y2
Y02,Y11,3,R3Y2
Y03,Y15,3,R3Y2
Y14,Y15,3,R3Y2
Y06,Y15,3,R3Y2
Y11,Y15,3,R3Y2
Y03,Y07,3,R3Y2
Y07,Y14,3,R3Y2
Y06,Y07,3,R3Y2
Y07,Y11,3,R3Y2
Y03,Y10,3,R3Y2
Y10,Y14,3,R3Y2
Y06,Y10,3,R3Y2
Y10,Y11,3,R3Y2
Z01,Z04,3,R3Z1
Z01,Z13,3,R3Z1
Z01,Z05,3,R3Z1
Z01,Z12,3,R3Z1
Z04,Z16,3,R3Z1
Z13,Z16,3,R3Z1
Z05,Z16,3,R3Z1
Z12,Z16,3,R3Z1
Z04,Z08,3,R3Z1
Z08,Z13,3,R3Z1
Z05,Z08,3,R3Z1
Z08,Z12,3,R3Z1
Z04,Z09,3,R3Z1
Z09,Z13,3,R3Z1
Z05,Z09,3,R3Z1
Z09,Z12,3,R3Z1
Z02,Z03,3,R3Z2
Z02,Z14,3,R3Z2
Z02,Z06,3,R3Z2
Z02,Z11,3,R3Z2
Z03,Z15,3,R3Z2
Z14,Z15,3,R3Z2
Z06,Z15,3,R3Z2
Z11,Z15,3,R3Z2
Z03,Z07,3,R3Z2
Z07,Z14,3,R3Z2
Z06,Z07,3,R3Z2
Z07,Z11,3,R3Z2
Z03,Z10,3,R3Z2
Z10,Z14,3,R3Z2
Z06,Z10,3,R3Z2
Z10,Z11,3,R3Z2
W01,W02,4,R4W1
W01,W15,4,R4W1
W01,W07,4,R4W1
W01,W10,4,R4W1
W01,W03,4,R4W1
W01,W14,4,R4W1
W01,W06,4,R4W1
W01,W11,4,R4W1
